,Datetime,Tweet Id,Text,Username,tokens,pos_tokens,Party
10,2022-03-29 10:37:00+00:00,1.51e+18,"Why some people be not happy with the scheme of free ration for the poor, today I want to tell the reason for this to the country…",narendramodi,"['Why', 'some', 'people', 'be', 'not', 'happy', 'with', 'the', 'scheme', 'of', 'free', 'ration', 'for', 'the', 'poor,', 'today', 'I', 'want', 'to', 'tell', 'the', 'reason', 'for', 'this', 'to', 'the', 'country…']","[['Why', 'n'], ['some', 'n'], ['people', 'n'], ['are', 'v'], ['not', 'r'], ['happy', 'a'], ['with', 'n'], ['the', 'n'], ['scheme', 'n'], ['of', 'n'], ['free', 'a'], ['ration', 'n'], ['for', 'n'], ['the', 'n'], ['poor,', 'n'], ['today', 'n'], ['I', 'n'], ['want', 'v'], ['to', 'n'], ['tell', 'v'], ['the', 'n'], ['reason', 'n'], ['for', 'n'], ['this', 'n'], ['to', 'n'], ['the', 'n'], ['country…', 'n']]",BJP
11,2022-03-29 10:36:47+00:00,1.51e+18,We have take full care that the house provide to the poor should also meet the rest of their life needs.,narendramodi,"['We', 'have', 'take', 'full', 'care', 'that', 'the', 'house', 'provide', 'to', 'the', 'poor', 'should', 'also', 'meet', 'the', 'rest', 'of', 'their', 'life', 'needs.']","[['We', 'n'], ['have', 'v'], ['taken', 'v'], ['full', 'a'], ['care', 'n'], ['that', 'n'], ['the', 'n'], ['houses', 'n'], ['provided', 'v'], ['to', 'n'], ['the', 'n'], ['poor', 'a'], ['should', 'n'], ['also', 'r'], ['meet', 'v'], ['the', 'n'], ['rest', 'n'], ['of', 'n'], ['their', 'n'], ['life', 'n'], ['needs.', 'n']]",BJP
12,2022-03-29 10:36:31+00:00,1.51e+18,I heartily congratulate the people of Madhya Pradesh who get 1.25 lakh new house under Pradhan Mantri Awas Yojana-Gramin. This be not just a figure but…,narendramodi,"['I', 'heartily', 'congratulate', 'the', 'people', 'of', 'Madhya', 'Pradesh', 'who', 'get', '1.25', 'lakh', 'new', 'house', 'under', 'Pradhan', 'Mantri', 'Awas', 'Yojana-Gramin.', 'This', 'be', 'not', 'just', 'a', 'figure', 'but…']","[['I', 'n'], ['heartily', 'r'], ['congratulate', 'v'], ['the', 'n'], ['people', 'n'], ['of', 'n'], ['Madhya', 'n'], ['Pradesh', 'n'], ['who', 'n'], ['got', 'v'], ['1.25', 'n'], ['lakh', 'a'], ['new', 'a'], ['houses', 'n'], ['under', 'n'], ['Pradhan', 'n'], ['Mantri', 'n'], ['Awas', 'n'], ['Yojana-Gramin.', 'n'], ['This', 'n'], ['is', 'v'], ['not', 'r'], ['just', 'r'], ['a', 'n'], ['figure', 'n'], ['but…', 'n']]",BJP
13,2022-03-29 07:09:43+00:00,1.51e+18,PM Awas Yojana be positively impact many lives. Interacting with the beneficiary in Madhya Pradesh.,narendramodi,"['PM', 'Awas', 'Yojana', 'be', 'positively', 'impact', 'many', 'lives.', 'Interacting', 'with', 'the', 'beneficiary', 'in', 'Madhya', 'Pradesh.']","[['PM', 'n'], ['Awas', 'n'], ['Yojana', 'n'], ['is', 'v'], ['positively', 'r'], ['impacting', 'v'], ['many', 'a'], ['lives.', 'n'], ['Interacting', 'v'], ['with', 'n'], ['the', 'n'], ['beneficiaries', 'n'], ['in', 'n'], ['Madhya', 'n'], ['Pradesh.', 'n']]",BJP
14,2022-03-28 16:24:44+00:00,1.51e+18,Glimpses from today’s ceremony in which Padma Awards be confer on distinguished people from different walk of life.,narendramodi,"['Glimpses', 'from', 'today’s', 'ceremony', 'in', 'which', 'Padma', 'Awards', 'be', 'confer', 'on', 'distinguished', 'people', 'from', 'different', 'walk', 'of', 'life.']","[['Glimpses', 'n'], ['from', 'n'], ['today’s', 'n'], ['ceremony', 'n'], ['in', 'n'], ['which', 'n'], ['Padma', 'n'], ['Awards', 'n'], ['were', 'v'], ['conferred', 'v'], ['on', 'n'], ['distinguished', 'a'], ['people', 'n'], ['from', 'n'], ['different', 'a'], ['walks', 'n'], ['of', 'n'], ['life.', 'n']]",BJP
15,2022-03-28 14:22:34+00:00,1.51e+18,"Visiting Orakandi Thakurbari in March 2021 be a special moment in Bangladesh. I share my speech on that occasion here.

https://t.co/XpZL6wzWyl",narendramodi,"['Visiting', 'Orakandi', 'Thakurbari', 'in', 'March', '2021', 'be', 'a', 'special', 'moment', 'in', 'Bangladesh.', 'I', 'share', 'my', 'speech', 'on', 'that', 'occasion', 'here.\n\nhttps://t.co/XpZL6wzWyl']","[['Visiting', 'v'], ['Orakandi', 'n'], ['Thakurbari', 'n'], ['in', 'n'], ['March', 'n'], ['2021', 'n'], ['is', 'v'], ['a', 'n'], ['special', 'a'], ['moment', 'n'], ['in', 'n'], ['Bangladesh.', 'n'], ['I', 'n'], ['shared', 'v'], ['my', 'n'], ['speech', 'n'], ['on', 'n'], ['that', 'n'], ['occasion', 'n'], ['here.\n\nhttps://t.co/XpZL6wzWyl', 'n']]",BJP
16,2022-03-28 14:17:42+00:00,1.51e+18,I have the good fortune to go to Thakurnagar in February 2019. This tour I will never forget. It be very important for me to get the blessing of Barma Veenapani Thakur.,narendramodi,"['I', 'have', 'the', 'good', 'fortune', 'to', 'go', 'to', 'Thakurnagar', 'in', 'February', '2019.', 'This', 'tour', 'I', 'will', 'never', 'forget.', 'It', 'be', 'very', 'important', 'for', 'me', 'to', 'get', 'the', 'blessing', 'of', 'Barma', 'Veenapani', 'Thakur.']","[['I', 'n'], ['had', 'v'], ['the', 'n'], ['good', 'a'], ['fortune', 'n'], ['to', 'n'], ['go', 'v'], ['to', 'n'], ['Thakurnagar', 'n'], ['in', 'n'], ['February', 'n'], ['2019.', 'n'], ['This', 'n'], ['tour', 'n'], ['I', 'n'], ['will', 'n'], ['never', 'r'], ['forget.', 'v'], ['It', 'n'], ['is', 'v'], ['very', 'r'], ['important', 'a'], ['for', 'n'], ['me', 'n'], ['to', 'n'], ['get', 'v'], ['the', 'n'], ['blessings', 'n'], ['of', 'n'], ['Barma', 'n'], ['Veenapani', 'n'], ['Thakur.', 'n']]",BJP
17,2022-03-28 14:16:01+00:00,1.51e+18,"I feel bless to have the opportunity to address the Matua Dharma Mahamela tomorrow 29th March at 4-30 pm. The great Sri Sri Harichand Thakurji dedicate his life to social justice and public welfare. We will also celebrate his birthday.

https://t.co/1DJaRpqdUB",narendramodi,"['I', 'feel', 'bless', 'to', 'have', 'the', 'opportunity', 'to', 'address', 'the', 'Matua', 'Dharma', 'Mahamela', 'tomorrow', '29th', 'March', 'at', '4-30', 'pm.', 'The', 'great', 'Sri', 'Sri', 'Harichand', 'Thakurji', 'dedicate', 'his', 'life', 'to', 'social', 'justice', 'and', 'public', 'welfare.', 'We', 'will', 'also', 'celebrate', 'his', 'birthday.\n\nhttps://t.co/1DJaRpqdUB']","[['I', 'n'], ['feel', 'v'], ['blessed', 'v'], ['to', 'n'], ['have', 'v'], ['the', 'n'], ['opportunity', 'n'], ['to', 'n'], ['address', 'v'], ['the', 'n'], ['Matua', 'n'], ['Dharma', 'n'], ['Mahamela', 'n'], ['tomorrow', 'n'], ['29th', 'n'], ['March', 'n'], ['at', 'n'], ['4-30', 'a'], ['pm.', 'n'], ['The', 'n'], ['great', 'a'], ['Sri', 'n'], ['Sri', 'n'], ['Harichand', 'n'], ['Thakurji', 'n'], ['dedicated', 'v'], ['his', 'n'], ['life', 'n'], ['to', 'n'], ['social', 'a'], ['justice', 'n'], ['and', 'n'], ['public', 'a'], ['welfare.', 'n'], ['We', 'n'], ['will', 'n'], ['also', 'r'], ['celebrate', 'v'], ['his', 'n'], ['birthday.\n\nhttps://t.co/1DJaRpqdUB', 'n']]",BJP
18,2022-03-28 13:12:36+00:00,1.51e+18,It be special to be at the Orakandi Thakurbari in Bangladesh in March 2021. Here be my speech during that programme.,narendramodi,"['It', 'be', 'special', 'to', 'be', 'at', 'the', 'Orakandi', 'Thakurbari', 'in', 'Bangladesh', 'in', 'March', '2021.', 'Here', 'be', 'my', 'speech', 'during', 'that', 'programme.']","[['It', 'n'], ['was', 'v'], ['special', 'a'], ['to', 'n'], ['be', 'v'], ['at', 'n'], ['the', 'n'], ['Orakandi', 'n'], ['Thakurbari', 'n'], ['in', 'n'], ['Bangladesh', 'n'], ['in', 'n'], ['March', 'n'], ['2021.', 'n'], ['Here', 'r'], ['is', 'v'], ['my', 'n'], ['speech', 'n'], ['during', 'n'], ['that', 'n'], ['programme.', 'n']]",BJP
19,2022-03-28 13:10:38+00:00,1.51e+18,"In February 2019, I have the opportunity to visit Thakurnagar. This be a visit that I will never forget. It be very special to get the blessing of Boro Ma Binapani Thakur.",narendramodi,"['In', 'February', '2019,', 'I', 'have', 'the', 'opportunity', 'to', 'visit', 'Thakurnagar.', 'This', 'be', 'a', 'visit', 'that', 'I', 'will', 'never', 'forget.', 'It', 'be', 'very', 'special', 'to', 'get', 'the', 'blessing', 'of', 'Boro', 'Ma', 'Binapani', 'Thakur.']","[['In', 'n'], ['February', 'n'], ['2019,', 'n'], ['I', 'n'], ['had', 'v'], ['the', 'n'], ['opportunity', 'n'], ['to', 'n'], ['visit', 'v'], ['Thakurnagar.', 'n'], ['This', 'n'], ['is', 'v'], ['a', 'n'], ['visit', 'n'], ['that', 'n'], ['I', 'n'], ['will', 'n'], ['never', 'r'], ['forget.', 'v'], ['It', 'n'], ['was', 'v'], ['very', 'r'], ['special', 'a'], ['to', 'n'], ['get', 'v'], ['the', 'n'], ['blessings', 'n'], ['of', 'n'], ['Boro', 'n'], ['Ma', 'n'], ['Binapani', 'n'], ['Thakur.', 'n']]",BJP
20,2022-03-28 13:07:26+00:00,1.51e+18,"I be honour to be address the Matua Dharma Maha Mela 2022 at 4:30 PM tomorrow, 29th March. We shall also mark the Jayanti of the great Sri Sri Harichand Thakur Ji, who devote his entire life for social justice and public welfare.",narendramodi,"['I', 'be', 'honour', 'to', 'be', 'address', 'the', 'Matua', 'Dharma', 'Maha', 'Mela', '2022', 'at', '4:30', 'PM', 'tomorrow,', '29th', 'March.', 'We', 'shall', 'also', 'mark', 'the', 'Jayanti', 'of', 'the', 'great', 'Sri', 'Sri', 'Harichand', 'Thakur', 'Ji,', 'who', 'devote', 'his', 'entire', 'life', 'for', 'social', 'justice', 'and', 'public', 'welfare.']","[['I', 'n'], ['am', 'v'], ['honoured', 'v'], ['to', 'n'], ['be', 'v'], ['addressing', 'v'], ['the', 'n'], ['Matua', 'n'], ['Dharma', 'n'], ['Maha', 'n'], ['Mela', 'n'], ['2022', 'n'], ['at', 'n'], ['4:30', 'n'], ['PM', 'n'], ['tomorrow,', 'v'], ['29th', 'n'], ['March.', 'n'], ['We', 'n'], ['shall', 'n'], ['also', 'r'], ['mark', 'v'], ['the', 'n'], ['Jayanti', 'n'], ['of', 'n'], ['the', 'n'], ['great', 'a'], ['Sri', 'n'], ['Sri', 'n'], ['Harichand', 'n'], ['Thakur', 'n'], ['Ji,', 'n'], ['who', 'n'], ['devoted', 'v'], ['his', 'n'], ['entire', 'a'], ['life', 'n'], ['for', 'n'], ['social', 'a'], ['justice', 'n'], ['and', 'n'], ['public', 'a'], ['welfare.', 'n']]",BJP
21,2022-03-28 13:05:15+00:00,1.51e+18,"A new dawn be about to come in the life of my rural brother and sister of Madhya Pradesh. Under Pradhan Mantri Awas Yojana-Gramin, there will be 'Griha Pravesam' for about 5.21 lakh family tomorrow. I will get an opportunity to attend it through video conferencing at 12.30 pm.

https://t.co/UgjPFaJBW9",narendramodi,"['A', 'new', 'dawn', 'be', 'about', 'to', 'come', 'in', 'the', 'life', 'of', 'my', 'rural', 'brother', 'and', 'sister', 'of', 'Madhya', 'Pradesh.', 'Under', 'Pradhan', 'Mantri', 'Awas', 'Yojana-Gramin,', 'there', 'will', 'be', ""'Griha"", ""Pravesam'"", 'for', 'about', '5.21', 'lakh', 'family', 'tomorrow.', 'I', 'will', 'get', 'an', 'opportunity', 'to', 'attend', 'it', 'through', 'video', 'conferencing', 'at', '12.30', 'pm.\n\nhttps://t.co/UgjPFaJBW9']","[['A', 'n'], ['new', 'a'], ['dawn', 'n'], ['is', 'v'], ['about', 'n'], ['to', 'n'], ['come', 'v'], ['in', 'n'], ['the', 'n'], ['lives', 'n'], ['of', 'n'], ['my', 'n'], ['rural', 'a'], ['brothers', 'n'], ['and', 'n'], ['sisters', 'n'], ['of', 'n'], ['Madhya', 'n'], ['Pradesh.', 'n'], ['Under', 'n'], ['Pradhan', 'n'], ['Mantri', 'n'], ['Awas', 'n'], ['Yojana-Gramin,', 'n'], ['there', 'n'], ['will', 'n'], ['be', 'v'], [""'Griha"", 'a'], [""Pravesam'"", 'n'], ['for', 'n'], ['about', 'r'], ['5.21', 'n'], ['lakh', 'a'], ['families', 'n'], ['tomorrow.', 'v'], ['I', 'n'], ['will', 'n'], ['get', 'v'], ['an', 'n'], ['opportunity', 'n'], ['to', 'n'], ['attend', 'v'], ['it', 'n'], ['through', 'n'], ['video', 'n'], ['conferencing', 'n'], ['at', 'n'], ['12.30', 'n'], ['pm.\n\nhttps://t.co/UgjPFaJBW9', 'n']]",BJP
22,2022-03-28 07:00:20+00:00,1.51e+18,Congratulations to @DrPramodPSawant Ji and all others who take oath in Goa today. I be confident this entire team will deliver good governance to the people of Goa and build on the pro-people work do in the last decade.,narendramodi,"['Congratulations', 'to', '@DrPramodPSawant', 'Ji', 'and', 'all', 'others', 'who', 'take', 'oath', 'in', 'Goa', 'today.', 'I', 'be', 'confident', 'this', 'entire', 'team', 'will', 'deliver', 'good', 'governance', 'to', 'the', 'people', 'of', 'Goa', 'and', 'build', 'on', 'the', 'pro-people', 'work', 'do', 'in', 'the', 'last', 'decade.']","[['Congratulations', 'n'], ['to', 'n'], ['@DrPramodPSawant', 'v'], ['Ji', 'n'], ['and', 'n'], ['all', 'n'], ['others', 'n'], ['who', 'n'], ['took', 'v'], ['oath', 'n'], ['in', 'n'], ['Goa', 'n'], ['today.', 'n'], ['I', 'n'], ['am', 'v'], ['confident', 'a'], ['this', 'n'], ['entire', 'a'], ['team', 'n'], ['will', 'n'], ['deliver', 'v'], ['good', 'a'], ['governance', 'n'], ['to', 'n'], ['the', 'n'], ['people', 'n'], ['of', 'n'], ['Goa', 'n'], ['and', 'n'], ['build', 'v'], ['on', 'n'], ['the', 'n'], ['pro-people', 'a'], ['work', 'n'], ['done', 'v'], ['in', 'n'], ['the', 'n'], ['last', 'a'], ['decade.', 'n']]",BJP
23,2022-03-27 15:25:39+00:00,1.51e+18,"Come, let’s celebrate the festival of examinations. Let’s talk stress free examinations. 

See you on 1st April at Pariksha Pe Charcha.",narendramodi,"['Come,', 'let’s', 'celebrate', 'the', 'festival', 'of', 'examinations.', 'Let’s', 'talk', 'stress', 'free', 'examinations.', '\n\nSee', 'you', 'on', '1st', 'April', 'at', 'Pariksha', 'Pe', 'Charcha.']","[['Come,', 'n'], ['let’s', 'n'], ['celebrate', 'v'], ['the', 'n'], ['festival', 'n'], ['of', 'n'], ['examinations.', 'n'], ['Let’s', 'n'], ['talk', 'n'], ['stress', 'n'], ['free', 'a'], ['examinations.', 'n'], ['\n\nSee', 'n'], ['you', 'n'], ['on', 'n'], ['1st', 'n'], ['April', 'n'], ['at', 'n'], ['Pariksha', 'n'], ['Pe', 'n'], ['Charcha.', 'n']]",BJP
24,2022-03-27 15:24:56+00:00,1.51e+18,"Through his work, Mupattam Sri Narayanan ji have illustrate what compassion towards bird truly means. #MannKiBaat",narendramodi,"['Through', 'his', 'work,', 'Mupattam', 'Sri', 'Narayanan', 'ji', 'have', 'illustrate', 'what', 'compassion', 'towards', 'bird', 'truly', 'means.', '#MannKiBaat']","[['Through', 'n'], ['his', 'n'], ['work,', 'n'], ['Mupattam', 'n'], ['Sri', 'n'], ['Narayanan', 'n'], ['ji', 'n'], ['has', 'v'], ['illustrated', 'v'], ['what', 'n'], ['compassion', 'n'], ['towards', 'n'], ['birds', 'n'], ['truly', 'r'], ['means.', 'v'], ['#MannKiBaat', 'n']]",BJP
25,2022-03-27 15:06:40+00:00,1.51e+18,"A Mela on India’s western coast be a great instance of India’s culture vibrancy, diversity and spirit of unity. #MannKiBaat",narendramodi,"['A', 'Mela', 'on', 'India’s', 'western', 'coast', 'be', 'a', 'great', 'instance', 'of', 'India’s', 'culture', 'vibrancy,', 'diversity', 'and', 'spirit', 'of', 'unity.', '#MannKiBaat']","[['A', 'n'], ['Mela', 'n'], ['on', 'n'], ['India’s', 'n'], ['western', 'a'], ['coast', 'n'], ['is', 'v'], ['a', 'n'], ['great', 'a'], ['instance', 'n'], ['of', 'n'], ['India’s', 'n'], ['culture', 'n'], ['vibrancy,', 'n'], ['diversity', 'n'], ['and', 'n'], ['spirit', 'n'], ['of', 'n'], ['unity.', 'a'], ['#MannKiBaat', 'n']]",BJP
26,2022-03-27 15:06:10+00:00,1.51e+18,"Just a our child make cleanliness a movement, they can help save water by become a 'Water Warrior'. #MannKiBaat",narendramodi,"['Just', 'a', 'our', 'child', 'make', 'cleanliness', 'a', 'movement,', 'they', 'can', 'help', 'save', 'water', 'by', 'become', 'a', ""'Water"", ""Warrior'."", '#MannKiBaat']","[['Just', 'r'], ['as', 'n'], ['our', 'n'], ['children', 'n'], ['made', 'v'], ['cleanliness', 'n'], ['a', 'n'], ['movement,', 'n'], ['they', 'n'], ['can', 'n'], ['help', 'v'], ['save', 'v'], ['water', 'n'], ['by', 'n'], ['becoming', 'v'], ['a', 'n'], [""'Water"", 'n'], [""Warrior'."", 'n'], ['#MannKiBaat', 'n']]",BJP
